Sample,X(ms) [24.09.2026 09:48:38 648 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","referentna_vrednost[%MD10]"
1776,1790243333392.572419,100,79.4926147460938,100
1777,1790243333432.572719,100,79.555549621582,100
1778,1790243333472.567719,100,79.6106262207031,100
1779,1790243333512.560519,100,79.6588287353516,100
1780,1790243333552.546819,100,79.7010192871094,100
1781,1790243333592.546919,100,79.7379379272461,100
1782,1790243333632.565619,100,79.7702484130859,100
1783,1790243333672.529419,100,79.7985305786133,100
1784,1790243333712.533619,100,79.8232803344727,100
1785,1790243333752.565919,100,79.8449401855469,100
1786,1790243333792.564019,100,79.863899230957,100
1787,1790243333832.578019,100,79.880485534668,100
1788,1790243333872.538819,100,79.8950042724609,100
1789,1790243333912.588019,100,79.9077072143555,100
1790,1790243333952.542019,100,79.918830871582,100
1791,1790243333992.550419,100,79.9285659790039,100
1792,1790243334032.564119,100,79.9370803833008,100
1793,1790243334072.503719,100,79.9445343017578,100
1794,1790243334112.547219,100,79.951057434082,100
1795,1790243334152.592919,100,79.9567642211914,100
1796,1790243334192.526819,100,79.9617614746094,100
1797,1790243334232.525219,100,79.9661331176758,100
1798,1790243334272.497319,100,79.9699630737305,100
1799,1790243334312.510619,100,79.9733123779297,100
1800,1790243334352.600519,100,79.9762420654297,100
1801,1790243334392.519519,100,79.9788055419922,100
1802,1790243334432.835919,100,79.9810485839844,100
1803,1790243334472.731519,100,79.9830169677734,100
1804,1790243334512.497919,100,79.984733581543,100
1805,1790243334552.493219,100,79.9862365722656,100
1806,1790243334592.490319,100,79.9875564575195,100
1807,1790243334632.462119,100,79.9887084960938,100
1808,1790243334672.462719,100,79.9897155761719,100
1809,1790243334712.536619,100,79.9906005859375,100
1810,1790243334752.497619,100,79.9913711547852,100
1811,1790243334792.479419,100,79.9920501708984,100
1812,1790243334832.468819,100,79.9926452636719,100
1813,1790243334872.465619,100,79.9931640625,100
1814,1790243334912.453619,100,79.9936141967773,100
1815,1790243334952.615819,100,79.994010925293,100
1816,1790243334992.511719,100,79.9943542480469,100
1817,1790243335032.478219,100,79.9946594238281,100
1818,1790243335072.442719,100,79.9949264526367,100
1819,1790243335112.454219,100,79.9951629638672,100
1820,1790243335152.431719,100,79.9953689575195,100
1821,1790243335192.448419,100,79.9955444335938,100
1822,1790243335232.441419,100,79.9956970214844,100
1823,1790243335272.448419,100,79.9958343505859,100
1824,1790243335312.470219,100,79.9959564208984,100
1825,1790243335352.426419,100,79.9960632324219,100
1826,1790243335392.466419,100,79.9961547851563,100
1827,1790243335432.411719,100,79.9962310791016,100
1828,1790243335472.401219,100,79.9962997436523,100
1829,1790243335512.422819,100,79.9963607788086,100
