Sample,X(ms) [22.09.2026 22:44:17 863 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","vrednost_upravljanja[%MD10]"
361,1790117061983.120589,0,0,0
362,1790117062023.118289,0,0,0
363,1790117062063.114989,0,0,0
364,1790117062103.125289,0,0,0
365,1790117062143.110589,0,0,0
366,1790117062183.117589,0,0,0
367,1790117062223.115289,0,0,0
368,1790117062263.097289,0,0,0
369,1790117062303.081189,0,0,0
370,1790117062343.088989,0,0,0
371,1790117062383.094189,0,0,0
372,1790117062423.095589,0,0,0
373,1790117062463.097889,0,0,0
374,1790117062503.093389,0,0,0
375,1790117062543.088689,0,0,0
376,1790117062583.060689,0,0,0
377,1790117062623.073689,0,0,0
378,1790117062663.059089,0,0,0
379,1790117062703.075589,0,0,0
380,1790117062743.067089,0,0,0
381,1790117062783.051589,0,0,0
382,1790117062823.039289,0,0,0
383,1790117062863.038989,0,0,0
384,1790117062903.043389,0,0,0
385,1790117062943.052689,0,0,0
386,1790117062983.027889,0,0,0
387,1790117063023.045189,0,0,0
388,1790117063063.040689,0,0,0
389,1790117063103.029089,0,0,0
390,1790117063143.018189,0,0,0
391,1790117063183.018489,0,0,0
392,1790117063223.018489,0,0,0
393,1790117063263.012989,0,0,0
394,1790117063303.022589,0,0,0
395,1790117063343.004289,0,0,0
396,1790117063383.010789,0,0,0
397,1790117063423.004189,0,0,0
398,1790117063462.987889,0,0,0
399,1790117063503.000989,0,0,0
400,1790117063542.998289,0,0,0
401,1790117063582.989589,0,0,0
402,1790117063622.988089,0,0,0
403,1790117063662.978489,0,0,0
404,1790117063702.988489,0,0,0
405,1790117063742.967289,0,0,0
406,1790117063782.957289,0,0,0
407,1790117063822.974189,0,0,0
408,1790117063862.982889,0,0,0
409,1790117063902.965589,0,0,0
410,1790117063942.965289,0,0,0
411,1790117063982.965789,0,0,0
412,1790117064022.966789,0,0,0
413,1790117064062.951789,0,0,0
414,1790117064102.949389,0,0,0
415,1790117064142.940489,0,0,0
416,1790117064182.925389,0,0,0
417,1790117064222.949589,0,0,0
418,1790117064262.933889,0,0,0
419,1790117064302.925989,0,0,0
420,1790117064342.919889,0,0,0
421,1790117064382.911889,0,0,0
422,1790117064422.917089,0,0,0
423,1790117064462.914089,0,0,0
424,1790117064502.930989,0,0,0
425,1790117064542.891489,0,0,0
426,1790117064582.908089,0,0,0
427,1790117064622.911489,0,0,0
428,1790117064662.904489,0,0,0
429,1790117064702.887289,0,0,0
430,1790117064742.890389,0,0,0
431,1790117064782.884389,0,0,0
432,1790117064822.899789,0,0,0
433,1790117064862.872789,0,0,0
434,1790117064902.870489,0,0,0
435,1790117064942.888189,0,0,0
436,1790117064982.881589,0,0,0
437,1790117065022.885789,0,0,0
438,1790117065062.846789,0,0,0
439,1790117065102.867389,0,0,0
440,1790117065142.853389,0,0,0
441,1790117065182.846989,0,0,0
442,1790117065222.864189,0,0,0
443,1790117065262.829089,0,0,0
444,1790117065302.836789,0,0,0
445,1790117065342.840089,0,0,0
446,1790117065382.828389,0,0,0
447,1790117065422.843389,0,0,0
448,1790117065462.828989,0,0,0
449,1790117065502.834389,0,0,0
450,1790117065542.809289,0,0,0
451,1790117065582.826489,0,0,0
452,1790117065622.814889,0,0,0
453,1790117065662.821189,0,0,0
454,1790117065702.824289,0,0,0
455,1790117065742.798689,0,0,0
456,1790117065782.806789,0,0,0
457,1790117065822.784689,0,0,0
458,1790117065862.793789,0,0,0
459,1790117065902.783689,0,0,0
460,1790117065942.780189,0,0,0
461,1790117065982.778489,0,0,0
462,1790117066022.780089,0,0,0
463,1790117066062.789889,0,0,0
464,1790117066102.783789,0,0,0
465,1790117066142.772189,0,0,0
466,1790117066182.761489,0,0,0
467,1790117066222.771189,0,0,0
468,1790117066262.763489,0,0,0
469,1790117066302.752589,0,0,0
470,1790117066342.750489,0,0,0
471,1790117066382.740289,0,0,0
472,1790117066422.748889,0,0,0
473,1790117066462.733289,0,0,0
474,1790117066502.751789,0,0,0
475,1790117066542.826489,0,0,0
476,1790117066582.733089,0,0,0
477,1790117066622.737389,0,0,0
478,1790117066662.740989,0,0,0
479,1790117066702.734589,0,0,0
480,1790117066742.720489,0,0,0
481,1790117066782.719889,0,0,0
482,1790117066822.729189,0,0,0
483,1790117066862.696689,0,0,0
484,1790117066902.702089,0,0,0
485,1790117066942.694889,0,0,0
486,1790117066982.695989,0,0,0
487,1790117067022.697789,0,0,0
488,1790117067062.679689,0,0,0
489,1790117067102.705089,0,0,0
490,1790117067142.684589,0,0,0
491,1790117067182.694589,0,0,0
492,1790117067222.682489,0,0,0
493,1790117067262.675189,0,0,0
494,1790117067302.670689,0,0,0
495,1790117067342.664789,0,0,0
496,1790117067382.661989,0,0,0
497,1790117067422.674289,0,0,0
498,1790117067462.661789,0,0,0
499,1790117067502.672189,0,0,0
500,1790117067542.650789,0,0,0
501,1790117067582.649089,0,0,0
502,1790117067622.653489,0,0,0
503,1790117067662.652989,0,0,0
504,1790117067702.635489,0,0,0
505,1790117067742.629189,0,0,0
506,1790117067782.642389,0,0,0
507,1790117067822.630989,0,0,0
508,1790117067862.629189,0,0,0
509,1790117067902.621089,0,0,0
510,1790117067942.618689,0,0,0
511,1790117067982.617789,0,0,0
512,1790117068022.621889,0,0,0
513,1790117068062.615789,0,0,0
514,1790117068102.629389,0,0,0
515,1790117068142.587389,0,0,0
516,1790117068182.596889,0,0,0
517,1790117068222.606989,0,0,0
518,1790117068262.577589,0,0,0
519,1790117068302.580389,0,0,0
520,1790117068342.579389,0,0,0
521,1790117068382.591589,0,0,0
522,1790117068422.568189,0,0,0
523,1790117068462.587189,0,0,0
524,1790117068502.586889,0,0,0
525,1790117068542.568989,0,0,0
526,1790117068582.553389,0,0,0
527,1790117068622.558689,0,0,0
528,1790117068662.552489,0,0,0
529,1790117068702.571889,0,0,0
530,1790117068742.555889,0,0,0
531,1790117068782.554989,0,0,0
532,1790117068822.539889,0,0,0
533,1790117068862.526189,0,0,0
534,1790117068902.548489,0,0,0
535,1790117068942.525889,0,0,0
536,1790117068982.533889,0,0,0
537,1790117069022.531389,0,0,0
538,1790117069062.534089,0,0,0
539,1790117069102.510889,0,0,0
540,1790117069142.511089,125,0,100
541,1790117069182.515189,125,12.4825000762939,100
542,1790117069222.509489,125,23.406810760498,100
543,1790117069262.507589,125,32.9674377441406,100
544,1790117069302.494389,125,41.3346099853516,100
545,1790117069342.506489,125,48.6573104858398,100
546,1790117069382.495089,125,55.06591796875,100
547,1790117069422.484289,125,60.6745376586914,100
548,1790117069462.500789,125,65.5830383300781,100
549,1790117069502.494589,125,69.8788070678711,100
550,1790117069542.491289,125,73.6383361816406,100
551,1790117069582.486689,125,76.9285583496094,100
552,1790117069622.490189,115.357208251953,79.8080673217773,100
553,1790117069662.473789,100.959663391113,81.3651962280273,100
554,1790117069702.484289,93.1740188598633,81.2902145385742,100
555,1790117069742.467889,93.5489273071289,80.4471130371094,100
556,1790117069782.476289,97.7644348144531,79.746696472168,100
557,1790117069822.468489,101.26651763916,79.5546722412109,100
558,1790117069862.449889,102.226638793945,79.7363357543945,100
559,1790117069902.460789,101.318321228027,79.9912033081055,100
560,1790117069942.462189,100.043983459473,80.1235427856445,100
561,1790117069982.468689,99.3822860717773,80.1121139526367,100
562,1790117070022.454289,99.4394302368164,80.0360336303711,100
563,1790117070062.446989,99.8198318481445,79.9751586914063,100
564,1790117070102.440589,100.124206542969,79.9598693847656,100
565,1790117070142.417689,100.200653076172,79.9768829345703,100
566,1790117070182.432589,100.115585327148,79.9994049072266,100
567,1790117070222.427789,100.002975463867,80.0106201171875,100
568,1790117070262.437289,99.9468994140625,80.0091934204102,100
569,1790117070302.417089,99.9540328979492,80.0023422241211,100
570,1790117070342.406489,99.9882888793945,79.9970550537109,100
571,1790117070382.400789,100.014724731445,79.9958572387695,100
572,1790117070422.416789,100.020713806152,79.997444152832,100
573,1790117070462.421889,100.01277923584,79.9994277954102,100
574,1790117070502.411489,100.002861022949,80.000373840332,100
575,1790117070542.391089,99.9981307983398,80.0002059936523,100
576,1790117070582.387289,99.9989700317383,79.9995880126953,100
577,1790117070622.453889,100.002059936523,79.9991302490234,100
578,1790117070662.393889,100.004348754883,79.9990463256836,100
579,1790117070702.371689,100.004768371582,79.9991989135742,100
