Sample,X(ms) [22.09.2026 22:13:58 598 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","vrednost_upravljanja[%MD10]"
68,1790115234238.753871,0,0,0
69,1790115234278.738971,0,0,0
70,1790115234318.734571,0,0,0
71,1790115234358.760071,0,0,0
72,1790115234398.758671,0,0,0
73,1790115234438.757471,0,0,0
74,1790115234478.751871,0,0,0
75,1790115234518.755771,0,0,0
76,1790115234558.734571,0,0,0
77,1790115234598.740671,0,0,0
78,1790115234638.750171,0,0,0
79,1790115234678.726571,0,0,0
80,1790115234718.729071,0,0,0
81,1790115234758.733871,0,0,0
82,1790115234798.739471,0,0,0
83,1790115234838.710471,0,0,0
84,1790115234878.706871,0,0,0
85,1790115234918.713271,0,0,0
86,1790115234958.699471,0,0,0
87,1790115234998.727671,0,0,0
88,1790115235038.728571,0,0,0
89,1790115235078.709471,0,0,0
90,1790115235118.723971,0,0,0
91,1790115235158.716271,0,0,0
92,1790115235198.684171,0,0,0
93,1790115235238.699971,0,0,0
94,1790115235278.678071,0,0,0
95,1790115235318.693571,0,0,0
96,1790115235358.689771,0,0,0
97,1790115235398.680171,0,0,0
98,1790115235438.692271,0,0,0
99,1790115235478.685271,0,0,0
100,1790115235518.661671,0,0,0
101,1790115235558.684971,0,0,0
102,1790115235598.676071,0,0,0
103,1790115235638.688271,0,0,0
104,1790115235678.667171,0,0,0
105,1790115235718.667971,0,0,0
106,1790115235758.667171,0,0,0
107,1790115235798.670171,0,0,0
108,1790115235838.659771,0,0,0
109,1790115235878.676071,0,0,0
110,1790115235918.647371,0,0,0
111,1790115235958.645771,0,0,0
112,1790115235998.668471,0,0,0
113,1790115236038.665871,0,0,0
114,1790115236078.659471,0,0,0
115,1790115236118.668171,0,0,0
116,1790115236158.638471,0,0,0
117,1790115236198.648471,0,0,0
118,1790115236238.669171,0,0,0
119,1790115236278.663371,0,0,0
120,1790115236318.639371,0,0,0
121,1790115236358.637671,0,0,0
122,1790115236398.659371,0,0,0
123,1790115236438.693871,0,0,0
124,1790115236478.713371,0,0,0
125,1790115236518.667971,0,0,0
126,1790115236558.692571,0,0,0
127,1790115236598.658371,0,0,0
128,1790115236638.639271,0,0,0
129,1790115236678.663971,0,0,0
130,1790115236718.657071,0,0,0
131,1790115236758.684471,0,0,0
132,1790115236798.660371,0,0,0
133,1790115236838.645971,0,0,0
134,1790115236878.665171,0,0,0
135,1790115236918.660871,0,0,0
136,1790115236958.662971,0,0,0
137,1790115236998.668971,0,0,0
138,1790115237038.690371,0,0,0
139,1790115237078.774271,0,0,0
140,1790115237118.674271,0,0,0
141,1790115237158.681271,0,0,0
142,1790115237198.676171,0,0,0
143,1790115237238.673771,0,0,0
144,1790115237278.765371,0,0,0
145,1790115237318.780871,0,0,0
146,1790115237358.742371,0,0,0
147,1790115237398.718971,0,0,0
148,1790115237438.681871,0,0,0
149,1790115237478.717571,0,0,0
150,1790115237518.681071,0,0,0
151,1790115237558.699971,0,0,0
152,1790115237598.685671,0,0,0
153,1790115237638.707871,0,0,0
154,1790115237678.875071,0,0,0
155,1790115237718.715471,0,0,0
156,1790115237758.694671,0,0,0
157,1790115237798.691071,0,0,0
158,1790115237838.691671,0,0,0
159,1790115237878.686671,0,0,0
160,1790115237918.700971,0,0,0
161,1790115237958.709471,0,0,0
162,1790115237998.765371,0,0,0
163,1790115238038.759771,0,0,0
164,1790115238078.731971,0,0,0
165,1790115238118.731871,0,0,0
166,1790115238158.703971,0,0,0
167,1790115238198.712771,0,0,0
168,1790115238238.708971,0,0,0
169,1790115238278.736671,0,0,0
170,1790115238318.726371,0,0,0
171,1790115238358.761871,0,0,0
172,1790115238398.718971,0,0,0
173,1790115238438.702771,0,0,0
174,1790115238478.720871,0,0,0
175,1790115238518.727271,0,0,0
176,1790115238558.745771,0,0,0
177,1790115238598.496271,0,0,0
178,1790115238638.489971,0,0,0
179,1790115238678.714371,0,0,0
180,1790115238718.711471,0,0,0
181,1790115238758.481871,0,0,0
182,1790115238798.800071,0,0,0
183,1790115238838.815071,0,0,0
184,1790115238878.481271,0,0,0
185,1790115238918.480571,0,0,0
186,1790115238958.482071,0,0,0
187,1790115238998.471771,0,0,0
188,1790115239038.461171,0,0,0
189,1790115239078.474071,0,0,0
190,1790115239118.467471,0,0,0
191,1790115239158.447971,0,0,0
192,1790115239198.451871,0,0,0
193,1790115239238.450671,0,0,0
194,1790115239278.441871,0,0,0
195,1790115239318.460671,0,0,0
196,1790115239358.431871,0,0,0
