Sample,X(ms) [24.09.2026 09:59:16 693 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","referentna_vrednost[%MD10]"
67,1790243954167.964172,0,0,0
68,1790243954207.985672,0,0,0
69,1790243954248.016772,0,0,0
70,1790243954287.985472,0,0,0
71,1790243954328.018672,0,0,0
72,1790243954367.918772,0,0,0
73,1790243954408.170672,0,0,0
74,1790243954447.937172,0,0,0
75,1790243954488.035572,0,0,0
76,1790243954528.043472,0,0,0
77,1790243954568.260172,0,0,0
78,1790243954607.976472,0,0,0
79,1790243954647.964272,0,0,0
80,1790243954693.371272,0,0,0
81,1790243954733.230872,0,0,0
82,1790243954773.199072,0,0,0
83,1790243954813.249772,0,0,0
84,1790243954853.201272,0,0,0
85,1790243954893.195372,0,0,0
86,1790243954933.223972,0,0,0
87,1790243954973.197572,0,0,0
88,1790243955013.218972,0,0,0
89,1790243955053.181472,0,0,0
90,1790243955093.287972,0,0,0
91,1790243955133.184072,0,0,0
92,1790243955173.182272,0,0,0
93,1790243955213.184172,0,0,0
94,1790243955253.186972,0,0,0
95,1790243955293.276772,0,0,0
96,1790243955333.224872,0,0,0
97,1790243955373.158672,0,0,0
98,1790243955413.198972,0,0,0
99,1790243955453.214572,0,0,0
100,1790243955493.201472,0,0,0
101,1790243955533.191372,0,0,0
102,1790243955573.215772,0,0,0
103,1790243955613.174472,0,0,0
104,1790243955653.169172,0,0,0
105,1790243955693.180072,0,0,0
106,1790243955733.150872,0,0,0
107,1790243955773.149672,0,0,0
108,1790243955813.198872,0,0,0
109,1790243955853.177472,0,0,0
110,1790243955893.253572,0,0,0
111,1790243955933.182772,0,0,0
112,1790243955973.217972,0,0,0
113,1790243956013.183272,0,0,0
114,1790243956053.197072,0,0,0
115,1790243956093.292272,0,0,0
116,1790243956133.159472,0,0,0
117,1790243956173.144872,0,0,0
118,1790243956213.149172,0,0,0
119,1790243956253.254572,0,0,0
120,1790243956293.279872,0,0,0
121,1790243956333.156272,0,0,0
122,1790243956373.127072,0,0,0
123,1790243956413.150972,0,0,0
124,1790243956453.148772,0,0,0
125,1790243956493.331372,0,0,0
126,1790243956533.130272,0,0,0
127,1790243956573.115772,0,0,0
128,1790243956613.139272,0,0,0
129,1790243956653.138972,0,0,0
130,1790243956693.146872,0,0,0
131,1790243956733.176872,0,0,0
132,1790243956773.336272,0,0,0
133,1790243956813.127372,0,0,0
134,1790243956853.098172,0,0,0
135,1790243956893.113072,0,0,0
136,1790243956933.108772,0,0,0
137,1790243956973.098272,0,0,0
138,1790243957013.100772,0,0,0
139,1790243957053.207672,0,0,0
140,1790243957093.529172,0,0,0
141,1790243957133.099972,0,0,0
142,1790243957173.120072,0,0,0
143,1790243957213.108672,0,0,0
144,1790243957253.085272,0,0,0
145,1790243957293.169072,0,0,0
146,1790243957333.058472,0,0,0
147,1790243957373.123172,0,0,0
148,1790243957413.060872,0,0,0
149,1790243957453.114572,0,0,0
150,1790243957493.258072,0,0,0
151,1790243957533.062272,0,0,0
152,1790243957573.069272,0,0,0
153,1790243957613.065172,0,0,0
154,1790243957653.066972,0,0,0
155,1790243957693.108572,0,0,0
156,1790243957733.130972,0,0,0
157,1790243957773.060872,0,0,0
158,1790243957813.057572,0,0,0
159,1790243957853.051272,0,0,0
160,1790243957893.360472,0,0,0
161,1790243957933.053872,0,0,0
162,1790243957973.084072,0,0,0
163,1790243958013.014772,0,0,0
164,1790243958053.379772,0,0,0
165,1790243958093.072672,0,0,0
166,1790243958133.058172,0,0,0
167,1790243958173.021172,0,0,0
168,1790243958213.028872,0,0,0
169,1790243958253.002072,0,0,0
170,1790243958293.065772,0,0,0
171,1790243958333.036172,0,0,0
172,1790243958373.018272,0,0,0
173,1790243958413.000072,0,0,0
174,1790243958452.995372,0,0,0
175,1790243958493.193172,0,0,0
176,1790243958533.024972,0,0,0
177,1790243958573.022572,0,0,0
178,1790243958613.020972,0,0,0
179,1790243958653.016772,0,0,0
180,1790243958692.991672,0,0,0
181,1790243958732.989172,0,0,0
182,1790243958773.001172,0,0,0
183,1790243958813.005672,0,0,0
184,1790243958852.979972,0,0,0
185,1790243958893.035272,0,0,0
186,1790243958932.994272,0,0,0
187,1790243958972.994472,0,0,0
188,1790243959012.979472,0,0,0
189,1790243959053.053472,0,0,0
190,1790243959092.983872,0,0,0
191,1790243959132.983772,0,0,0
192,1790243959172.940272,0,0,0
193,1790243959212.974772,0,0,0
194,1790243959252.968772,0,0,0
195,1790243959293.056672,0,0,0
196,1790243959332.955572,0,0,0
197,1790243959373.028372,0,0,0
198,1790243959413.178972,0,0,0
199,1790243959452.978472,0,0,0
200,1790243959493.341172,0,0,0
201,1790243959532.941572,0,0,0
202,1790243959572.948872,0,0,0
203,1790243959612.927672,0,0,0
204,1790243959652.944072,0,0,0
205,1790243959692.916372,0,0,0
206,1790243959732.914072,0,0,0
207,1790243959772.913372,0,0,0
208,1790243959812.929772,0,0,0
209,1790243959852.901372,0,0,0
210,1790243959892.977972,0,0,0
211,1790243959932.967472,0,0,0
