Sample,X(ms) [22.09.2026 22:05:40 989 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]"
237,1790114742429.470643,0,0
238,1790114742469.478643,0,0
239,1790114742509.451843,0,0
240,1790114742549.460243,0,0
241,1790114742589.462943,0,0
242,1790114742629.451943,0,0
243,1790114742669.453443,0,0
244,1790114742709.437643,0,0
245,1790114742749.454243,0,0
246,1790114742789.426643,0,0
247,1790114742829.438143,0,0
248,1790114742869.436543,0,0
249,1790114742909.434943,0,0
250,1790114742949.439043,0,0
251,1790114742989.410643,0,0
252,1790114743029.418443,0,0
253,1790114743069.407143,0,0
254,1790114743109.419843,0,0
255,1790114743149.410843,0,0
256,1790114743189.412143,0,0
257,1790114743229.397843,0,0
258,1790114743269.391643,0,0
259,1790114743309.387243,0,0
260,1790114743349.375343,0,0
261,1790114743389.394843,0,0
262,1790114743429.378043,0,0
263,1790114743469.385043,0,0
264,1790114743509.388843,0,0
265,1790114743549.363143,0,0
266,1790114743589.358943,0,0
267,1790114743629.367243,0,0
268,1790114743669.349243,0,0
269,1790114743709.354643,0,0
270,1790114743749.367143,0,0
271,1790114743789.358443,0,0
272,1790114743829.348043,0,0
273,1790114743869.342643,125,0
274,1790114743909.333143,125,12.4825000762939
275,1790114743949.342643,125,23.406810760498
276,1790114743989.329443,125,32.9674377441406
277,1790114744029.346143,125,41.3346099853516
278,1790114744069.326243,125,48.6573104858398
279,1790114744109.322643,125,55.06591796875
280,1790114744149.331643,125,60.6745376586914
281,1790114744189.306243,125,65.5830383300781
282,1790114744229.302943,125,69.8788070678711
283,1790114744269.307943,125,73.6383361816406
284,1790114744309.299843,125,76.9285583496094
285,1790114744349.318043,115.357208251953,79.8080673217773
286,1790114744389.295443,100.959663391113,81.3651962280273
287,1790114744429.291543,93.1740188598633,81.2902145385742
288,1790114744469.286143,93.5489273071289,80.4471130371094
289,1790114744509.306443,97.7644348144531,79.746696472168
290,1790114744549.285543,101.26651763916,79.5546722412109
291,1790114744589.288143,102.226638793945,79.7363357543945
292,1790114744629.280143,101.318321228027,79.9912033081055
293,1790114744669.280143,100.043983459473,80.1235427856445
294,1790114744709.280943,99.3822860717773,80.1121139526367
295,1790114744749.281543,99.4394302368164,80.0360336303711
296,1790114744789.276643,99.8198318481445,79.9751586914063
297,1790114744829.274643,100.124206542969,79.9598693847656
298,1790114744869.263843,100.200653076172,79.9768829345703
