Sample,X(ms) [22.09.2026 22:43:05 543 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","vrednost_upravljanja[%MD10]"
157,1790116978183.683734,0,0,0
158,1790116978223.706134,0,0,0
159,1790116978263.679534,0,0,0
160,1790116978303.698734,0,0,0
161,1790116978343.672334,0,0,0
162,1790116978383.672034,0,0,0
163,1790116978423.659734,0,0,0
164,1790116978463.658234,0,0,0
165,1790116978503.664234,0,0,0
166,1790116978543.667834,0,0,0
167,1790116978583.661934,0,0,0
168,1790116978623.680934,0,0,0
169,1790116978663.651434,0,0,0
170,1790116978703.668234,0,0,0
171,1790116978743.650934,0,0,0
172,1790116978783.638434,0,0,0
173,1790116978823.671034,0,0,0
174,1790116978863.645034,0,0,0
175,1790116978903.633734,0,0,0
176,1790116978943.655934,0,0,0
177,1790116978983.655234,0,0,0
178,1790116979023.660634,0,0,0
179,1790116979063.634734,0,0,0
180,1790116979103.646134,0,0,0
181,1790116979143.635634,0,0,0
182,1790116979183.638434,0,0,0
183,1790116979223.632234,0,0,0
184,1790116979263.628634,0,0,0
185,1790116979303.647134,0,0,0
186,1790116979343.632834,0,0,0
187,1790116979383.627234,0,0,0
188,1790116979423.617534,0,0,0
189,1790116979463.623234,0,0,0
190,1790116979503.615234,0,0,0
191,1790116979543.604234,0,0,0
192,1790116979583.605934,0,0,0
193,1790116979623.622634,0,0,0
194,1790116979663.625234,0,0,0
195,1790116979703.605334,0,0,0
196,1790116979743.622434,0,0,0
197,1790116979783.603334,0,0,0
198,1790116979823.617934,0,0,0
199,1790116979863.583634,0,0,0
200,1790116979903.603934,0,0,0
201,1790116979943.589634,0,0,0
202,1790116979983.594834,0,0,0
203,1790116980023.576834,0,0,0
204,1790116980063.597534,0,0,0
205,1790116980103.594734,0,0,0
206,1790116980143.608234,0,0,0
207,1790116980183.568834,0,0,0
208,1790116980223.565834,0,0,0
209,1790116980263.563534,0,0,0
210,1790116980303.573334,0,0,0
211,1790116980343.574534,0,0,0
212,1790116980383.555134,0,0,0
213,1790116980423.552434,0,0,0
214,1790116980463.547634,0,0,0
215,1790116980503.571734,0,0,0
216,1790116980543.541834,0,0,0
217,1790116980583.575034,0,0,0
218,1790116980623.548634,0,0,0
219,1790116980663.562134,0,0,0
220,1790116980703.556734,0,0,0
221,1790116980743.548534,0,0,0
222,1790116980783.566134,0,0,0
223,1790116980823.554734,0,0,0
224,1790116980863.528734,0,0,0
225,1790116980903.540434,0,0,0
226,1790116980943.537934,0,0,0
227,1790116980983.554834,0,0,0
228,1790116981023.533134,0,0,0
229,1790116981063.533134,0,0,0
230,1790116981103.546134,0,0,0
231,1790116981143.531734,0,0,0
232,1790116981183.537434,0,0,0
233,1790116981223.531634,0,0,0
234,1790116981263.529434,0,0,0
235,1790116981303.506634,0,0,0
236,1790116981343.498934,0,0,0
237,1790116981383.515634,0,0,0
238,1790116981423.507634,0,0,0
239,1790116981463.527734,0,0,0
240,1790116981503.506634,0,0,0
241,1790116981543.509734,0,0,0
242,1790116981583.527334,0,0,0
243,1790116981623.522034,0,0,0
244,1790116981663.497434,0,0,0
245,1790116981703.510034,0,0,0
246,1790116981743.509534,0,0,0
247,1790116981783.477734,0,0,0
248,1790116981823.508434,0,0,0
249,1790116981863.499534,0,0,0
250,1790116981903.490134,0,0,0
251,1790116981943.497234,0,0,0
252,1790116981983.470134,0,0,0
253,1790116982023.498334,0,0,0
254,1790116982063.474234,0,0,0
255,1790116982103.467534,0,0,0
256,1790116982143.486634,0,0,0
257,1790116982183.497734,0,0,0
258,1790116982223.473934,0,0,0
259,1790116982263.485134,0,0,0
260,1790116982303.469734,0,0,0
261,1790116982343.467434,0,0,0
262,1790116982383.468734,0,0,0
263,1790116982423.478734,0,0,0
264,1790116982463.446734,0,0,0
265,1790116982503.470734,0,0,0
266,1790116982543.441534,0,0,0
267,1790116982583.479434,0,0,0
268,1790116982623.444134,0,0,0
269,1790116982663.458534,0,0,0
270,1790116982703.440434,0,0,0
271,1790116982743.434234,0,0,0
272,1790116982783.450434,0,0,0
273,1790116982823.429934,0,0,0
274,1790116982863.459934,0,0,0
275,1790116982903.429434,0,0,0
276,1790116982943.443634,0,0,0
277,1790116982983.437834,0,0,0
278,1790116983023.415934,0,0,0
279,1790116983063.424734,0,0,0
280,1790116983103.453134,0,0,0
281,1790116983143.425434,0,0,0
282,1790116983183.409434,0,0,0
283,1790116983223.420634,0,0,0
284,1790116983263.457434,0,0,0
285,1790116983303.436634,0,0,0
286,1790116983343.441934,0,0,0
287,1790116983383.400034,0,0,0
288,1790116983423.401934,0,0,0
289,1790116983463.392934,0,0,0
290,1790116983503.429534,0,0,0
291,1790116983543.471834,0,0,0
292,1790116983583.403134,0,0,0
293,1790116983623.401334,0,0,0
294,1790116983663.392834,0,0,0
295,1790116983703.392234,0,0,0
296,1790116983743.377534,0,0,0
297,1790116983783.378734,0,0,0
298,1790116983823.452134,0,0,0
299,1790116983863.407334,0,0,0
300,1790116983903.367734,0,0,0
301,1790116983943.372334,0,0,0
302,1790116983983.363034,0,0,0
303,1790116984023.398434,0,0,0
304,1790116984063.409934,0,0,0
305,1790116984103.395734,0,0,0
306,1790116984143.355934,0,0,0
307,1790116984183.366334,0,0,0
308,1790116984223.413934,0,0,0
309,1790116984263.394934,0,0,0
310,1790116984303.367134,0,0,0
311,1790116984343.356834,0,0,0
312,1790116984383.371034,0,0,0
313,1790116984423.370634,0,0,0
314,1790116984463.365334,0,0,0
315,1790116984503.354534,0,0,0
316,1790116984543.326534,0,0,0
317,1790116984583.350234,0,0,0
318,1790116984623.354234,0,0,0
319,1790116984663.330634,0,0,0
320,1790116984703.344334,0,0,0
321,1790116984743.332034,0,0,0
322,1790116984783.324134,0,0,0
323,1790116984823.337034,0,0,0
324,1790116984863.349234,0,0,0
325,1790116984903.336834,0,0,0
326,1790116984943.306334,0,0,0
327,1790116984983.338334,0,0,0
328,1790116985023.332634,0,0,0
329,1790116985063.315134,0,0,0
330,1790116985103.334134,0,0,0
331,1790116985143.333734,0,0,0
332,1790116985183.328134,0,0,0
333,1790116985223.296134,0,0,0
334,1790116985263.328834,0,0,0
335,1790116985303.323934,0,0,0
336,1790116985343.312434,0,0,0
337,1790116985383.312934,0,0,0
338,1790116985423.379134,0,0,0
339,1790116985463.296634,0,0,0
340,1790116985503.298534,0,0,0
341,1790116985543.302634,0,0,0
342,1790116985583.303134,0,0,0
343,1790116985623.298134,0,0,0
344,1790116985663.282134,0,0,0
345,1790116985703.286834,0,0,0
346,1790116985743.291734,0,0,0
347,1790116985783.279834,0,0,0
348,1790116985823.284334,0,0,0
349,1790116985863.258134,0,0,0
350,1790116985903.267334,0,0,0
351,1790116985943.245034,0,0,0
352,1790116985983.264434,0,0,0
353,1790116986023.261134,0,0,0
354,1790116986063.245834,0,0,0
355,1790116986103.253234,0,0,0
356,1790116986143.248434,0,0,0
357,1790116986183.240334,0,0,0
358,1790116986223.237334,0,0,0
359,1790116986263.242734,0,0,0
360,1790116986303.220434,0,0,0
361,1790116986343.219834,0,0,0
362,1790116986383.234534,0,0,0
363,1790116986423.228734,0,0,0
364,1790116986463.266234,0,0,0
365,1790116986503.208734,0,0,0
366,1790116986543.232134,0,0,0
367,1790116986583.203734,0,0,0
368,1790116986623.222934,0,0,0
369,1790116986663.196234,0,0,0
370,1790116986703.225934,0,0,0
371,1790116986743.179734,0,0,0
372,1790116986783.209334,0,0,0
373,1790116986823.207734,0,0,0
374,1790116986863.185934,0,0,0
375,1790116986903.173834,0,0,0
376,1790116986943.179334,0,0,0
377,1790116986983.209134,0,0,0
378,1790116987023.209134,0,0,0
379,1790116987063.193434,0,0,0
380,1790116987103.185034,0,0,0
381,1790116987143.166434,0,0,0
382,1790116987183.160234,0,0,0
383,1790116987223.184234,0,0,0
384,1790116987263.151634,0,0,0
385,1790116987303.166534,0,0,0
386,1790116987343.162034,0,0,0
387,1790116987383.180634,0,0,0
388,1790116987423.178534,0,0,0
389,1790116987463.177234,0,0,0
390,1790116987503.139834,0,0,0
391,1790116987543.132134,0,0,0
392,1790116987583.130534,0,0,0
393,1790116987623.129134,0,0,0
394,1790116987663.143034,0,0,0
395,1790116987703.100334,0,0,0
396,1790116987743.141634,0,0,0
397,1790116987783.141034,0,0,0
398,1790116987823.124234,0,0,0
399,1790116987863.150834,0,0,0
400,1790116987903.091034,0,0,0
401,1790116987943.116634,0,0,0
402,1790116987983.106434,0,0,0
403,1790116988023.118434,0,0,0
404,1790116988063.072734,0,0,0
405,1790116988103.144434,0,0,0
406,1790116988143.087534,0,0,0
407,1790116988183.097734,0,0,0
408,1790116988223.053334,0,0,0
409,1790116988263.094834,0,0,0
410,1790116988303.108934,0,0,0
411,1790116988343.073234,0,0,0
412,1790116988383.056334,0,0,0
413,1790116988423.057834,0,0,0
414,1790116988463.057834,0,0,0
415,1790116988503.056234,0,0,0
416,1790116988543.042734,0,0,0
417,1790116988583.055634,0,0,0
418,1790116988623.041434,0,0,0
419,1790116988663.016634,0,0,0
420,1790116988703.023634,0,0,0
421,1790116988743.028834,0,0,0
422,1790116988783.028434,0,0,0
423,1790116988823.005334,0,0,0
424,1790116988863.017634,0,0,0
425,1790116988903.015534,0,0,0
426,1790116988943.010534,0,0,0
427,1790116988983.005534,0,0,0
428,1790116989023.008234,0,0,0
429,1790116989062.987334,0,0,0
430,1790116989103.018534,0,0,0
431,1790116989142.997334,0,0,0
432,1790116989182.994834,0,0,0
433,1790116989222.994434,0,0,0
434,1790116989262.973134,0,0,0
435,1790116989302.971034,0,0,0
436,1790116989342.976434,0,0,0
437,1790116989382.975634,0,0,0
438,1790116989422.951534,100,0,100
439,1790116989462.960834,100,9.98600006103516,100
440,1790116989502.974934,100,18.7254486083984,100
441,1790116989542.961434,100,26.373950958252,100
442,1790116989582.982234,100,33.0676879882813,100
443,1790116989622.974134,100,38.9258499145508,100
444,1790116989662.940234,100,44.052734375,100
445,1790116989702.943734,100,48.5396308898926,100
446,1790116989742.960934,100,52.4664268493652,100
447,1790116989782.943734,100,55.9030418395996,100
448,1790116989822.944034,100,58.9106636047363,100
449,1790116989862.931234,100,61.5428466796875,100
450,1790116989902.952634,100,63.8464546203613,100
451,1790116989942.924034,100,65.8625030517578,100
452,1790116989982.934434,100,67.6268844604492,100
453,1790116990022.907634,100,69.1710205078125,100
454,1790116990062.904334,100,70.5223999023438,100
455,1790116990102.902434,100,71.7050933837891,100
456,1790116990142.912634,100,72.7401428222656,100
